"Time","Group","n_risk","n_event","Survival","Lower_CI","Upper_CI"
30,"SAVRCABG",252,3,0.988235294117647,0.975089283613771,1
180,"SAVRCABG",237,15,0.929411764705882,0.898499992398947,0.961387018009189
730,"SAVRCABG",218,19,0.854901960784314,0.81274851027255,0.899241712922705
1825,"SAVRCABG",177,41,0.694117647058824,0.639805218322959,0.753040603859653
30,"TAVRONLY",251,4,0.984313725490196,0.969180047710099,0.999683714576632
180,"TAVRONLY",229,7,0.955808339778683,0.93059618909733,0.981703549932476
730,"TAVRONLY",164,21,0.858054278529296,0.813288451855545,0.905284150073243
1825,"TAVRONLY",46,37,0.579881280148411,0.500961164000601,0.671234265708781
